objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
cleve_avon_mine001,Cleve_Avon_Mine.jpg,Folder Contents,Cleve Avon Mine Folder Contents,Cleve Avon Mine,,Lode,,,Folder Contents,Contents;Cleve Avon Mine,Beaverhead,Beaverhead,Bryant,3S,11W,1,45.6041,-112.91419,,,Image;StillImage,image/jpeg,eng,"Hecla Mine, Ariadne, Cleopatra, Franklin, Upper Cleve, Trapper, Alta, Mark Anthony, Oneida, Condor, Pride Of The West, Minnie Gafney, Atlantis, True Fissure, Keokuk, Helene Kaufman; Everest & Glendale Millsites",,
clipper001,Clipper.jpg,Folder Contents,Clipper Folder Contents,Clipper,10664,Lode,,,Folder Contents,Contents;Clipper,Beaverhead,Beaverhead,Bloody Dick,10S,14W,5,44.99694,-113.33944,,,Image;StillImage,image/jpeg,eng,"Discolor, Eagle Prospect, Finvalley, Royal, Starlight",,
comet_mine001,Comet_Mine.jpg,Folder Contents,Comet Mine Folder Contents,Comet Mine,,Lode,,,Folder Contents,Contents;Comet Mine,Beaverhead,Beaverhead,Elkhorn,4S,12W,26,45.4572,-113.055,,,Image;StillImage,image/jpeg,eng,Comet Mine,,
coolidge001,Coolidge.jpg,Folder Contents,Coolidge Folder Contents,Coolidge,,Lode,,,Folder Contents,Contents;Coolidge,Beaverhead,Beaverhead,Argenta,6S,10W,18,45.31,-112.8728,,,Image;StillImage,image/jpeg,eng,St Joseph Claim,,
coolridge001,Coolridge.jpg,Folder Contents,Coolridge Folder Contents,Coolridge,,Lode,,,Folder Contents,Contents;Coolridge,Beaverhead,Beaverhead,Elkhorn,4S,12W,22,45.47142,-113.07054,,,Image;StillImage,image/jpeg,eng,,,
copper_bell001,Copper_Bell.jpg,Folder Contents,Copper Bell Folder Contents,Copper Bell,326,Lode,,,Folder Contents,Contents;Copper Bell,Beaverhead,Beaverhead,Argenta,6S,10W,29,45.2853,-112.8608,,,Image;StillImage,image/jpeg,eng,"A/K/A Louis Phillip; By Goldsmith, Hand, Jack Rabbit, Ferdinand Graybird",,
copper_queen001,Copper_Queen.jpg,Folder Contents,Copper Queen Folder Contents,Copper Queen,,Lode,,,Folder Contents,Contents;Copper Queen,Beaverhead,Beaverhead,Bryant,7S,16W,19,45.21169,-113.61174,,,Image;StillImage,image/jpeg,eng,,,
ajax001,Correspondence_Ajax_Mine_Conrow_John_Thomson_Francis_12_9_1941.pdf,Correspondence,Geology of Beaverhead County and Ajax Mine,Ajax,,Placer,Johon M. Conrow,12/9/1941,Geology of Beaverhead County and Ajax Mine,Correspondence; Ajax Mine; ,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-75,,
ajax002,Correspondence_Ajax_Mine_King_Ralph_Vandelinder_George_10_10_1969.pdf,Correspondence,Mountain Range and Location Information,Ajax,,Placer,Ralph H. King,10/10/1969,Mountain rainge and location information,Correspondence; Ajax Mine; ,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-76,,
ajax003,Correspondence_Ajax_Mine_Mcclernan_H_G_Jenkins_Clay_09_15_1969.pdf,Correspondence,Road Construction Near Ajax,Ajax,,Placer,H.G. McClernan,9/15/1969,Road construction near Ajax,Correspondence; Ajax Mine; ,Beaverhead,Beaverhead,Ajax,6S,17W,7,45.52333,-113.72389,,,Image;StillImage,application/pdf,eng,Compiled From Mcnabb; USBM; Nickelson; USGS Report 6-23-53; R.N.Appling Map 8-23-77,,
